entry;description;PoS;PoS detail;alternatives
arret;;F;;
arrive;;F;;
arsenal;;PROPN_ORG;;
art;;F;;
artemisia;;PROPN_SCI;;
arthemon;;PROPN_NAM;;
arthur;;PROPN_NAM;;
article;;F;;
articles;;F;;
arubaniya;;PROPN_LOC;;"arbaniya;albanie;albania;albaniya"
arusha;;PROPN_LOC;;
arv;;PROPN_ORG;;
arzebayijani;;PROPN_LOC;;
as;;F;;
asad;;PROPN_NAM;;
asensio;;PROPN_NAM;;
ash;;F;;
ashara;;PROPN_NAM;;
asher;;PROPN_NAM;;
ashley;;PROPN_NAM;;
ashraf;;PROPN_NAM;;
asparagus;;PROPN_SCI;;
aspect;;F;;
aspects;;F;;
assad;;PROPN_NAM;;
assaillants;;F;;
assange;;PROPN_NAM;;
assessments;;F;;
assimi;;PROPN_NAM;;
assistance;;F;;
assister;;F;;
associated;;F;;
association;;F;;
associations;;F;;
assomption;;F;;
assurance;;F;;
assurances;;F;;
astere;;PROPN_NAM;;
aston;;PROPN_NAM;;
astra;;PROPN_ORG;;
astrazeneca;;PROPN_ORG;;
astrida;;PROPN_NAM;;
astro;;PROPN_ORG;;
at;;PROPN_ORG;;
atalanta;;PROPN_LOC;;atlanta
atelier;;F;;
athanase;;PROPN_NAM;;
athletic;;F;;
athletics;;F;;
atlantic;;PROPN_LOC;;atlantique
atletico;;PROPN_ORG;;
atson;;PROPN_NAM;;
atteinte;;F;;
attention;;F;;
attestation;;F;;
aubameyang;;PROPN_NAM;;
aubergine;;PROPN_SCI;;
aubin;;F;;
auckland;;PROPN_LOC;;
audace;;F;;
audance;;F;;
audience;;F;;
audio;;F;;
augustin;;PROPN_NAM;;
augustine;;PROPN_NAM;;
augustino;;PROPN_NAM;;
aujourd;;F;;
aukus;;PROPN_ORG;;
aung;;PROPN_NAM;;
aurelien;;PROPN_NAM;;
aurier;;PROPN_NAM;;
aussi;;F;;
austin;;PROPN_NAM;;
auteur;;F;;
auteurs;;F;;
authority;;F;;
autorite;;F;;
autre;;F;;
autres;;F;;
aux;;F;;
avais;;F;;
avait;;F;;
avance;;F;;
avant;;F;;
avantage;;F;;
avec;;F;;
avenue;;F;;
aviation;;F;;
avis;;F;;
avocat;;F;;
avocats;;F;;
avoir;;F;;
avons;;F;;
avril;;F;;
award;;F;;
awards;;F;;
axel;;PROPN_NAM;;
ayant;;F;;
ayatollah;;PROPN_NAM;;
ayder;;PROPN_NAM;;
aziya;;PROPN_LOC;;asia
azov;;PROPN_LOC;;
azovstal;;PROPN_ORG;;
azpilicueta;;PROPN_NAM;;
babiloni;;PROPN_LOC;;babylon
baby;;F;;
baccalaureat;;F;;
bachelet;;F;;
back;;F;;
bacteries;;F;;
bad;;F;;
badenoch;;PROPN_NAM;;
baerbock;;PROPN_NAM;;
bagamunda;;PROPN_NAM;;
baghdadi;;PROPN_LOC;;baghdad
bagley;;PROPN_NAM;;
bagorikunda;;PROPN_NAM;;
bahamasi;;PROPN_LOC;;bahamas
baharurubisi;;PROPN_VEG;;
bahrain;;PROPN_LOC;;
bailey;;PROPN_NAM;;
bailly;;PROPN_NAM;;
baker;;PROPN_NAM;;
bakhmut;;PROPN_LOC;;
balague;;PROPN_NAM;;
balak;;PROPN_NAM;;
balasinovich;;PROPN_NAM;;
bale;;PROPN_NAM;;
baleine;;F;;
balka;;PROPN_LOC;;
ball;;F;;
ballistic;;F;;
ballon;;F;;
balmoral;;PROPN_LOC;;
balte;;PROPN_LOC;;"baltique;baltic;baltes"
balthazar;;PROPN_NAM;;
baluchistan;;PROPN_LOC;;baluchi
bamako;;PROPN_LOC;;
bananes;;F;;
band;;F;;
bangaradeshi;;PROPN_LOC;;bangladesh
bangirinama;;PROPN_NAM;;
bank;;F;;
banque;;F;;
banques;;F;;
baptista;;PROPN_NAM;;
baptiste;;PROPN_NAM;;
barack;;PROPN_NAM;;
barapimana;;PROPN_NAM;;
barbara;;PROPN_NAM;;
barça;;PROPN_ORG;;barca
barcelone;;PROPN_LOC;;barcelona
barinakandi;;PROPN_NAM;;
barkhane;;PROPN_ORG;;
barkley;;PROPN_LOC;;
barry;;PROPN_NAM;;
bartomeu;;PROPN_NAM;;
bas;;F;;
bashar;;PROPN_NAM;;
bashir;;PROPN_NAM;;
basile;;PROPN_NAM;;
basketball;;F;;
bat;;F;;
bataillon;;F;;
batangwanimana;;PROPN_NAM;;
bater;;F;;
batista;;PROPN_NAM;;
batururimi;;PROPN_NAM;;
baudouin;;PROPN_NAM;;
bay;;F;;
bayer;;PROPN_ORG;;
bayern;;PROPN_LOC;;
bazoum;;PROPN_NAM;;
bbc;;PROPN_ORG;;
bbi;;PROPN_ORG;;
beach;;F;;
beasley;;PROPN_NAM;;
beatrice;;PROPN_NAM;;
beau;;F;;
beaucoup;;F;;
bebe;;PROPN_NAM;;
beck;;PROPN_NAM;;
beckham;;PROPN_NAM;;
beelzebu;;PROPN_REL;;
beijing;;PROPN_LOC;;
belge;;F;;
belgorod;;PROPN_LOC;;belgrade
belize;;PROPN_LOC;;
bella;;PROPN_NAM;;
belle;;F;;
bellerin;;PROPN_NAM;;
belliere;;PROPN_NAM;;
bellingcat;;PROPN_ORG;;
bellingham;;PROPN_NAM;;
belotti;;PROPN_NAM;;
belva;;PROPN_NAM;;
ben;;PROPN_NAM;;
bench;;F;;
benediction;;F;;
benedigito;;PROPN_NAM;;
benedikto;;PROPN_NAM;;
benfica;;PROPN_ORG;;
beni;;PROPN_LOC;;"benin;bene"
benimana;;PROPN_NAM;;
benitez;;PROPN_NAM;;
benjamin;;PROPN_NAM;;
bennett;;PROPN_NAM;;
benoit;;PROPN_NAM;;
benteke;;PROPN_NAM;;
benyamini;;PROPN_NAM;;
berahino;;PROPN_NAM;;
beraruse;;PROPN_LOC;;"biélorussie;belarus;belaruski"
berchmans;;PROPN_NAM;;
berdyansk;;PROPN_LOC;;
berezire;;PROPN_LOC;;"buraziri;brezire;brezili;brezil;brésil;bresil;brazil"
bergkamp;;PROPN_NAM;;
bergwijn;;PROPN_NAM;;
berkeley;;PROPN_LOC;;
berlin;;PROPN_LOC;;
bermuda;;PROPN_LOC;;
bernabeu;;PROPN_NAM;;
bernadeta;;PROPN_NAM;;
bernadetta;;PROPN_NAM;;
bernadette;;PROPN_NAM;;
bernard;;PROPN_NAM;;
bernardo;;PROPN_NAM;;
bernd;;PROPN_NAM;;
bertha;;PROPN_NAM;;
besoin;;F;;
besoins;;F;;
beta;;F;;
betelehemu;;PROPN_LOC;;"betlehemu; bethlehem"
betterave;;F;;
bialiatski;;PROPN_NAM;;
bias;;F;;
bibliotheque;;F;;
biden;;PROPN_NAM;;
bielorussie;;F;;
bien;;F;;
biens;;F;;
bienvenue;;F;;
biere;;F;;
big;;F;;
bigeni;;PROPN_NAM;;
bigirimana;;PROPN_NAM;;
bigirimana;;PROPN_NAM;;
bihebeyimana;;PROPN_NAM;;
bihub;;PROPN_ORG;;
bijou;;F;;
bild;;F;;
bill;;PROPN_NAM;;
billings;;F;;
billy;;PROPN_NAM;;
bilohorivka;;PROPN_LOC;;
bilyaivka;;PROPN_LOC;;
bimenyimana;;PROPN_NAM;;
biologie;;F;;
biologique;;F;;
biometrique;;F;;
biontech;;PROPN_ORG;;
biotech;;F;;
birdlife;;PROPN_ORG;;
birigade;;F;;
birmingham;;PROPN_LOC;;
birorimana;;PROPN_NAM;;
birr;;PROPN_CUR;;
bis;;F;;
bissau;;PROPN_LOC;;
bitamo;;PROPN_NAM;;
bitangwanimana;;PROPN_NAM;;
bjornum;;PROPN_NAM;;
black;;F;;
blackburn;;PROPN_ORG;;
blair;;PROPN_NAM;;
blaise;;PROPN_NAM;;
blake;;PROPN_NAM;;
blanc;;F;;
blanche;;F;;
bland;;F;;
blank;;F;;
blaziyo;;PROPN_NAM;;
blé;;F;;
bleu;;F;;
blinde;;F;;
blinken;;PROPN_NAM;;
bloomberg;;PROPN_NAM;;
blue;;F;;
blues;;F;;
bmbc;;PROPN_ORG;;
bms ;;PROPN_ORG;;
board;;PROPN_ORG;;
bob;;PROPN_NAM;;
bobi;;PROPN_NAM;;
boebert;;PROPN_NAM;;
boeing;;PROPN_ORG;;
boesen;;PROPN_NAM;;
bogdanor;;PROPN_NAM;;
bois;;F;;
boite;;F;;
boko;;PROPN_NAM;;
boliviya;;PROPN_LOC;;bolivia
bollywood;;PROPN_ORG;;
bologna;;PROPN_LOC;;
bolsonaro;;PROPN_NAM;;
bolt;;PROPN_NAM;;
bolton;;PROPN_NAM;;
bon;;F;;
bondarev;;PROPN_NAM;;
bonfils;;F;;
bonham;;PROPN_NAM;;
boniface;;PROPN_NAM;;
bonifasi;;PROPN_NAM;;
bonjour;;F;;
bonne;;F;;
booty;;F;;
bora;;PROPN_NAM;;
bordeaux;;PROPN_LOC;;
boris;;PROPN_NAM;;
borislav;;PROPN_NAM;;
boroumand;;PROPN_NAM;;
borrell;;PROPN_NAM;;
borussia;;PROPN_ORG;;
bosco;;PROPN_NAM;;
boseman;;PROPN_NAM;;
bosiko;;PROPN_NAM;;
bosiniya;;PROPN_LOC;;"bosini;bosnia;erzegovine"
bosko;;PROPN_NAM;;
boss;;F;;
boston;;PROPN_LOC;;
botha;;PROPN_NAM;;
botswana ;;PROPN_LOC;;setswana
boubacar;;PROPN_NAM;;
bourgeois;;F;;
bournemouth;;PROPN_ORG;;
bourse;;F;;
bout;;F;;
bowman;;PROPN_NAM;;
boxe;;F;;
boy;;F;;
boychenko;;PROPN_NAM;;
boys;;F;;
bozizé;;PROPN_NAM;;
brad;;PROPN_NAM;;
bradley;;PROPN_NAM;;
braithwaite;;PROPN_NAM;;
brandon;;PROPN_NAM;;
brands;;F;;
branham;;PROPN_NAM;;
brarudi;;PROPN_NAM;;
braut;;PROPN_NAM;;
braverman;;PROPN_NAM;;
brazzaville;;PROPN_LOC;;
brb;;PROPN_ORG;;
breakfast;;F;;
breen;;PROPN_NAM;;
bremen;;PROPN_LOC;;
brendan;;PROPN_NAM;;
brentford;;PROPN_ORG;;
brevipes;;PROPN_SCI;;
brexit;;PROPN_ORG;;
breyer;;PROPN_NAM;;
brian;;PROPN_NAM;;
bridelia;;PROPN_NAM;;
bridge;;F;;
brigade;;F;;
brigadier;;F;;
bright;;F;;
brighton;;PROPN_ORG;;
bristol;;PROPN_LOC;;
british;;PROPN_LOC;;
britney;;PROPN_NAM;;
brittney;;PROPN_NAM;;
broadwater;;PROPN_NAM;;
broja;;PROPN_NAM;;
bromwich;;PROPN_ORG;;
brooklyn;;PROPN_LOC;;
brother;;F;;
brown;;F;;
bruce;;PROPN_NAM;;
bruno;;PROPN_NAM;;
bruyne;;PROPN_NAM;;
bryant;;PROPN_NAM;;
bubanza;;PROPN_LOC;;
buckingham;;PROPN_LOC;;
budapest;;PROPN_LOC;;
budget;;F;;
buendia;;PROPN_NAM;;
buenos;;F;;
buenosaires;;PROPN_LOC;;"buenos;aires"
buffalo;;PROPN_ORG;;
bujumbura;;PROPN_LOC;;
bull;;F;;
bulletin;;F;;
bundesliga;;PROPN_ORG;;
bundestag;;PROPN_ORG;;
bunny;;PROPN_NAM;;
