id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
3513;kwongerwa;kw;ongerwa;ongewe;we;;0;NULL;NULL;;;;;0;;NULL
3514;kwongeza;kw;ongeza;ongeje;je;;0;NULL;NULL;;;;;0;;NULL
3515;kwongorera;kw;ongorera;ongoreye;ye;;0;NULL;NULL;;;;;0;;NULL
3516;kwongorerana;kw;ongorerana;ongoreranye;nye;;0;NULL;NULL;;;;;0;;NULL
3517;ivyongoreranyo;ivy;ongoreranyo;;;;1;NULL;NULL;;;;;0;;NULL
3518;ivyongoshwe;ivy;ongoshwe;;;;1;NULL;8;;;;;0;;NULL
3520;kwonjorora;kw;onjorora;onjoroye;ye;;0;NULL;NULL;;;;;0;;NULL
3521;kwonka;kw;onka;onse;nse;;0;NULL;NULL;;;;;0;;NULL
3522;inyonko;i;nyonko;;;;1;9;NULL;;;;;0;;NULL
3523;ubwonko;ubw;onko;;;;1;14;NULL;ubgonko;ubg;;;1;;NULL
3524;kwonona;kw;onona;ononye;nye;;0;NULL;NULL;;;;;0;;NULL
3525;kwononekara;kw;ononekara;ononekaye;ye;;0;NULL;NULL;;;;;0;;NULL
3526;kwononera;kw;ononera;ononeye;ye;;0;NULL;NULL;;;;;0;;NULL
3527;kwononesha;kw;ononesha;ononesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3528;kwononwa;kw;ononwa;ononwe;nwe;;0;NULL;NULL;;;;;0;;NULL
3529;ubwononyi;ubw;ononyi;;;;1;14;NULL;ubgononyi;ubg;;;1;;NULL
3530;kwonsa;kw;onsa;onkeje;nkeje;;0;NULL;NULL;;;;;0;;NULL
3531;kwonswa;kw;onswa;onkejwe;nkejwe;;0;NULL;NULL;;;;;0;;NULL
3532;inyonzo;iny;onzo;;;iny;1;9;10;;;;;0;;NULL
3533;kworekera;kw;orekera;orekereye;reye;;0;NULL;NULL;;;;;0;;NULL
3534;kworekerwa;kw;orekerwa;orekerewe;rewe;;0;NULL;NULL;;;;;0;;NULL
3535;umworo;umw;oro;;;ab;1;1;2;;;;;0;;NULL
3536;ubworo;ubw;oro;;;;1;14;NULL;ubgoro;ubg;;;1;;NULL
3537;kworoha;kw;oroha;oroshe;she;;0;NULL;NULL;;;;;0;;NULL
3538;kworohereza;kw;orohereza;orohereje;je;;0;NULL;NULL;;;;;0;;NULL
3539;kworoherwa;kw;oroherwa;orohewe;we;;0;NULL;NULL;;;;;0;;NULL
3540;kworokera;kw;orokera;orokereye;reye;;0;NULL;NULL;;;;;0;;NULL
3541;kworokereza;kw;orokereza;orokereje;je;;0;NULL;NULL;;;;;0;;NULL
3542;kwosa;kw;osa;osheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3543;-ose;-;ose;;;;2;NULL;NULL;"wese;mwese;twese";;;;0;;NULL
3544;kwosha;kw;osha;oheje;heje;;0;NULL;NULL;;;;;0;;NULL
3545;inyosha;iny;osha;;;iny;1;9;10;;;;;0;;NULL
3546;inyoshwa;iny;oshwa;;;iny;1;9;10;;;;;0;;NULL
3547;amosozi;am;osozi;;;;1;NULL;6;;;;;0;;NULL
3548;kwota;kw;ota;ose;se;;0;NULL;NULL;;;;;0;;NULL
3550;icotero;ic;otero;;;ivy;1;7;8;;;;;0;;NULL
3551;kwotesha;kw;otesha;otesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3552;kwoteshwa;kw;oteshwa;oteshejwe;shejwe;;0;NULL;NULL;;;;;0;;NULL
3553;kwotsa;kw;otsa;okeje;keje;;0;NULL;NULL;;;;;0;;NULL
3554;umwotsi;umw;otsi;;;imy;1;3;4;;;;;0;;NULL
3555;umwotso;umw;otso;;;imy;1;3;4;;;;;0;;NULL
3556;oya;;oya;;;;8;NULL;NULL;;;;;0;;NULL
3557;iryoya;iry;oya;;;am;1;5;6;;;;;0;;NULL
3558;uruyoya;uruy;oya;;;inz;1;11;10;;;;;0;;NULL
3559;urwoya;urw;oya;;;am;1;11;10;;;;;0;;NULL
3560;ubwoya;ubw;oya;;;;1;14;NULL;ubgoya;ubg;;;1;;NULL
3561;-oye;-;oye;;;;0;NULL;NULL;;;;;0;;NULL
3562;kwoza;kw;oza;ogeje;geje;;0;NULL;NULL;;;;;0;;NULL
3563;kwozwa;kw;ozwa;ogejwe;gejwe;;0;NULL;NULL;;;;;0;;NULL
3564;igipaca;igi;paca;;;ibi;1;7;8;;;;;0;;NULL
3565;umupagani;umu;pagani;;;aba;1;1;2;;;;;0;;NULL
3566;ubupagani;ubu;pagani;;;;1;14;NULL;;;;;1;;NULL
3567;impaka;im;paka;;;im;1;9;10;;;;;0;;NULL
3568;impamba;im;pamba;;;im;1;9;10;;;;;0;;NULL
3569;ipampa;i;pampa;;;i;1;9;10;;;;;0;;NULL
3570;impamvu;im;pamvu;;;im;1;9;10;;;;;0;;NULL
3571;igipande;igi;pānde;;;ibi;1;7;8;;;;;0;;sw
3572;gupanga;gu;panga;panze;nze;;0;NULL;NULL;;;;;0;;sw
3573;umupanga;umu;panga;;;imi;1;3;4;;;;;0;;sw
3574;impange;im;pange;;;im;1;9;10;;;;;0;;NULL
3575;gupangura;gu;pangura;panguye;ye;;0;NULL;NULL;;;;;0;;sw
3576;gupangusha;gu;pangusha;pangushije;shije;;0;NULL;NULL;;;;;0;;sw
3577;impano;im;pano;;;im;1;9;10;;;;;0;;NULL
3578;ipapayi;i;papayi;;;i;1;9;10;;;;;0;;NULL
3579;urupapuro;uru;papuro;;;im;1;11;10;urupapuru;uru;;;0;;NULL
3580;imparage;im;parage;;;im;1;9;10;;;;;0;;NULL
3581;impari;im;pari;;;im;1;9;10;;;;;0;;NULL
3582;ipasi;i;pasi;;;ama;1;5;6;;;;;0;;sw
3583;Pasika;;Pasika;;;;1;9;10;;;;;0;;NULL
3584;impatane;im;patane;;;im;1;9;10;;;;;0;;NULL
3585;pe;;pe;;;;6;NULL;NULL;;;;;0;;NULL
3586;impehemyi;im;pehemyi;;;im;1;9;10;;;;;0;;NULL
3587;impeke;im;peke;;;im;1;9;10;;;;;0;;NULL
3588;impembo;im;pembo;;;im;1;9;10;;;;;0;;NULL
3589;impene;im;pene;;;im;1;9;10;;;;;0;;NULL
3590;impera;im;pēra;;;im;1;9;10;;;;;0;;NULL
3591;impera;im;pera;;;im;1;9;10;;;;;0;;NULL
3592;imperera;im;perera;;;im;1;9;10;;;;;0;;NULL
3593;imperezwa;im;perēzwa;;;im;1;9;10;;;;;0;;NULL
3594;imperuka;im;peruka;;;im;1;9;10;;;;;0;;NULL
3595;impeshi;im;pēshi;;;im;1;9;10;;;;;0;;NULL
3596;impeta;im;peta;;;im;1;9;10;;;;;0;;NULL
3597;impete;im;pete;;;im;1;9;10;;;;;0;;NULL
3598;gupfa;gu;pfa;pfūye;pfūye;;0;NULL;NULL;;;;;0;;NULL
3599;ipfa;i;pfa;;;;1;5;NULL;;;;;1;;NULL
3600;amapfa;ama;pfa;;;;1;NULL;6;;;;;0;;NULL
3601;impfagusa;im;pfagusa;;;;1;5;NULL;;;;;1;;NULL
3602;gupfakara;gu;pfakara;pfakaye;ye;;0;NULL;NULL;;;;;0;;NULL
3603;umupfakazi;umu;pfakazi;;;aba;1;1;2;;;;;0;;NULL
3604;igipfamatwi;igi;pfamatwi;;;ibi;1;7;8;;;;;0;;NULL
3605;gupfana;gu;pfana;pfanye;nye;;0;NULL;NULL;;;;;0;;NULL
3606;gupfapfana;gu;pfapfana;pfapfanye;nye;;0;NULL;NULL;;;;;0;;NULL
3607;umupfasoni;umu;pfasoni;;;aba;1;1;2;umufasoni;umu;;;0;;NULL
3608;ubupfasoni;ubu;pfasoni;;;;1;14;NULL;ubufasoni;ubu;;;1;;NULL
3609;gupfinda;gu;pfinda;pfinze;nze;;0;NULL;NULL;;;;;0;;NULL
3610;gupfindana;gu;pfindana;pfindanye;nye;;0;NULL;NULL;;;;;0;;NULL
3611;ubupfindo;ubu;pfindo;;;;1;14;NULL;;;;;1;;NULL
3612;gupfindura;gu;pfindura;pfinduye;ye;;0;NULL;NULL;;;;;0;;NULL
3613;gupfira;gu;pfira;pfiriye;riye;;0;NULL;NULL;;;;;0;;NULL
3614;impfiro;im;pfiro;;;im;1;9;10;;;;;0;;NULL
3615;gupfisha;gu;pfisha;pfishije;shije;;0;NULL;NULL;;;;;0;;NULL
3616;impfizi;im;pfizi;;;im;1;9;10;imfizi;im;;;0;;NULL
3617;umupfu;umu;pfu;;;imi;1;3;4;;;;;0;;NULL
3618;igipfu;igi;pfu;;;ibi;1;7;8;;;;;0;;NULL
3619;urupfu;uru;pfu;;;im;1;11;10;;;;;0;;NULL
3620;ubupfu;ubu;pfu;;;;1;14;NULL;;;;;1;;NULL
3621;gupfuha;gu;pfuha;pfushe;she;;0;NULL;NULL;;;;;0;;NULL
3622;gupfuhagira;gu;pfuhagira;pfuhagiye;ye;;0;NULL;NULL;;;;;0;;NULL
3623;ipfuhe;i;pfuhe;;;;1;NULL;NULL;;;;;1;;NULL
3624;gupfuka;gu;pfuka;pfutse;tse;;0;NULL;NULL;;;;;0;;NULL
3625;gupfukama;gu;pfukama;pfukamye;mye;;0;NULL;NULL;;;;;0;;NULL
3626;gupfukamika;gu;pfukamika;pfukamitse;tse;;0;NULL;NULL;;;;;0;;NULL
3627;gupfukamukwa;gu;pfukamukwa;pfukamutswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3628;gupfukamira;gu;pfukamira;pfukamiye;ye;;0;NULL;NULL;;;;;0;;NULL
3629;gupfukamisha;gu;pfukamisha;pfukamishije;shije;;0;NULL;NULL;;;;;0;;NULL
3630;gupfukisha;gu;pfukisha;pfukishije;shije;;0;NULL;NULL;;;;;0;;NULL
3631;umupfuko;umu;pfuko;;;imi;1;3;4;umufuko;umu;;;0;;NULL
3632;gupfukura;gu;pfukura;pfukuye;ye;;0;NULL;NULL;;;;;0;;NULL
3633;gupfukwa;gu;pfukwa;pfutswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3634;gupfuma;gu;pfuma;pfumye;mye;;0;NULL;NULL;;;;;0;;NULL
3635;umupfumu;umu;pfumu;;;aba;1;1;2;;;;;0;;NULL
3636;gupfunagira;gu;pfunagira;pfunagiye;ye;;0;NULL;NULL;;;;;0;;NULL
3637;gupfunda;gu;pfunda;pfunze;nze;;0;NULL;NULL;;;;;0;;NULL
3638;umupfunda;umu;pfunda;;;imi;1;3;4;;;;;0;;NULL
3639;gupfundika;gu;pfundika;pfunditse;tse;;0;NULL;NULL;;;;;0;;NULL
3640;gupfundikanya;gu;pfundikanya;pfundikanije;nije;;0;NULL;NULL;;;;;0;;NULL
3641;gupfundikira;gu;pfundikira;pfundikiye;ye;;0;NULL;NULL;;;;;0;;NULL
3642;gupfundikirwa;gu;pfundikirwa;pfundikiwe;we;;0;NULL;NULL;;;;;0;;NULL
3643;gupfundikisha;gu;pfundikisha;pfundikishije;shije;;0;NULL;NULL;;;;;0;;NULL
3644;gupfundikiza;gu;pfundikiza;pfundikije;je;;0;NULL;NULL;;;;;0;;NULL
3645;igipfundikizo;igi;pfundikizo;;;ibi;1;7;8;;;;;0;;NULL
3646;gupfundikwa;gu;pfundikwa;pfunditswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3647;ipfundo;i;pfundo;;;ama;1;5;6;;;;;0;;NULL
3648;gupfunduka;gu;pfunduka;pfundutse;tse;;0;NULL;NULL;;;;;0;;NULL
3649;gupfunduka;gu;pfunduka;pfundutse;tse;;0;NULL;NULL;;;;;0;;NULL
3650;gupfunduruka;gu;pfunduruka;pfundurutse;tse;;0;NULL;NULL;;;;;0;;NULL
3651;gupfundurura;gu;pfundurura;pfunduruye;ye;;0;NULL;NULL;;;;;0;;NULL
3652;gupfunereza;gu;pfunereza;pfunereje;je;;0;NULL;NULL;;;;;0;;NULL
3653;gupfunganya;gu;pfunganya;pfunganye;nye;;0;NULL;NULL;;;;;0;;NULL
3654;igipfungo;igi;pfungo;;;ibi;1;7;8;;;;;0;;sw
3655;igipfungu;igi;pfūngu;;;ibi;1;7;8;igifungu;igi;;;0;;NULL
3656;urupfunguzo;uru;pfunguzo;;;im;1;11;10;urufunguzo;uru;;;0;;sw
3657;igipfunsi;igi;pfūnsi;;;ibi;1;7;8;;;;;0;;NULL
3658;gupfunya;gu;pfunya;pfunye;nye;;0;NULL;NULL;;;;;0;;NULL
3659;ubupfunya;ubu;pfunya;;;;1;14;NULL;;;;;1;;NULL
3660;gupfunyirana;gu;pfunyirana;pfunyiranye;nye;;0;NULL;NULL;;;;;0;;NULL
3661;gupfunyiranya;gu;pfunyiranya;pfunyiranije;nije;;0;NULL;NULL;;;;;0;;NULL
3662;umupfunyu;umu;pfunyu;;;imi;1;3;4;;;;;0;;NULL
3663;gupfunyuka;gu;pfunyuka;pfunyutse;tse;;0;NULL;NULL;;;;;0;;NULL
3664;gupfunyura;gu;pfunyura;pfunyuye;ye;;0;NULL;NULL;;;;;0;;NULL
3665;gupfunywa;gu;pfunywa;pfunywe;nywe;;0;NULL;NULL;;;;;0;;NULL
3666;gupfusha;gu;pfusha;pfushije;shije;;0;NULL;NULL;;;;;0;;NULL
3667;gupfuvya;gu;pfuvya;pfubije;bije;;0;NULL;NULL;;;;;0;;NULL
3668;gupfyina;gu;pfyina;pfyinye;nye;;0;NULL;NULL;;;;;0;;NULL
3669;gupima;gu;pima;pinye;nye;;0;NULL;NULL;;;;;0;;sw
3670;igipimo;igi;pimo;;;ibi;1;7;8;;;;;0;;sw
3671;impinga;im;pīnga;;;im;1;9;10;;;;;0;;NULL
3672;impinguro;im;pīngūro;;;im;1;9;10;;;;;0;;NULL
3673;umupira;umu;pira;;;imi;1;3;4;umupila;umu;;;0;;sw
3674;ipirimu;i;pirimu;;;ama;1;5;6;;;;;0;;NULL
3675;ipiripiri;i;piripiri;;;i;1;9;10;ipilipili;i;;;0;;sw
3676;impisho;im;pisho;;;;1;10;NULL;;;;;1;;NULL
3677;urupiya;uru;piya;;;im;1;11;10;;;;;0;;NULL
3678;impongano;im;pongano;;;im;1;9;10;;;;;0;;NULL
3679;impongo;im;pongo;;;im;1;9;10;;;;;0;;NULL
3680;imponyi;im;ponyi;;;im;1;9;10;;;;;0;;NULL
3681;gupoperaniriza;gu;poperaniriza;poperanirije;je;;0;NULL;NULL;;;;;0;;NULL
3682;gupoperanya;gu;poperanya;poperanije;nije;;0;NULL;NULL;;;;;0;;NULL
3683;impore;im;pore;;;im;1;9;10;;;;;0;;NULL
3685;iposhoro;i;poshoro;;;ama;1;5;6;;;;;0;;sw
3686;impuha;im;puha;;;im;1;9;10;;;;;0;;NULL
3687;impuhwe;im;puhwe;;;im;1;9;10;;;;;0;;NULL
3688;impumyi;im;pumyi;;;im;1;9;10;;;;;0;;NULL
3689;impundu;im;pūndu;;;im;1;9;10;;;;;0;;NULL
3690;impungenge;im;pungenge;;;im;1;9;10;;;;;0;;NULL
3691;impungu;im;pungu;;;im;1;9;10;;;;;0;;NULL
3692;impururu;im;pururu;;;im;1;9;10;;;;;0;;NULL
3693;impuzu;im;pūzu;;;im;1;9;10;;;;;0;;NULL
3694;impwemu;im;pwemu;;;im;1;9;10;impemu;;;;0;;NULL
3695;ubura;ubu;ra;;;ama;1;14;6;;;;;0;;NULL
3696;kuraba;ku;raba;ravye;vye;;0;NULL;NULL;;;;;0;;NULL
3697;kuraba;ku;raba;ravye;vye;;0;NULL;NULL;;;;;0;;NULL
3698;kurabagirana;ku;rabagirana;rabagiranye;nye;;0;NULL;NULL;;;;;0;;NULL
3699;ikirabagu;iki;rabagu;;;ibi;1;7;8;;;;;0;;NULL
3700;kurabana;ku;rabana;rabanye;nye;;0;NULL;NULL;;;;;0;;NULL
3701;kurabana;ku;rabana;rabanye;nye;;0;NULL;NULL;;;;;0;;NULL
3702;kurabaraba;ku;rabaraba;rabaravye;vye;;0;NULL;NULL;;;;;0;;NULL
3703;kurabwa;ku;rabwa;rabwe;bwe;;0;NULL;NULL;kurabga;;rabga;bge;0;;NULL
3704;kurabwa;ku;rabwa;rabwe;bwe;;0;NULL;NULL;kurabga;;rābga;bge;0;;NULL
3705;kurabika;ku;rabika;rabitse;tse;;0;NULL;NULL;;;;;0;;NULL
3706;kurabika;ku;rabika;rabitse;tse;;0;NULL;NULL;;;;;0;;NULL
3707;kurabira;ku;rabira;rabiye;ye;;0;NULL;NULL;;;;;0;;NULL
3708;kurabira;ku;rabira;rabiye;ye;;0;NULL;NULL;;;;;0;;NULL
3709;kurabirana;ku;rabirana;rabiranye;nye;;0;NULL;NULL;;;;;0;;NULL
3710;kurabiriza;ku;rabiriza;rabirije;je;;0;NULL;NULL;;;;;0;;NULL
3711;kurabisha;ku;rabisha;rabishije;shije;;0;NULL;NULL;;;;;0;;NULL
3712;kurabuka;ku;rabuka;rabutse;tse;;0;NULL;NULL;;;;;0;;NULL
3713;kurabuka;ku;rabuka;rabutse;tse;;0;NULL;NULL;;;;;0;;NULL
3714;kurabukirwa;ku;rabukirwa;rabukiwe;we;;0;NULL;NULL;;;;;0;;NULL
3715;kurabukwa;ku;rabukwa;rabutswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3716;kurabura;ku;rabura;rabuye;ye;;0;NULL;NULL;;;;;0;;NULL
3717;kuraga;ku;raga;raze;ze;;0;NULL;NULL;;;;;0;;NULL
3718;uburagamo;ubu;ragamo;;;;1;14;NULL;;;;;1;;NULL
3719;kuragana;ku;ragana;raganye;nye;;0;NULL;NULL;;;;;0;;NULL
3720;kuraganira;ku;raganira;raganiye;ye;;0;NULL;NULL;;;;;0;;NULL
3721;uburage;ubu;rage;;;;1;14;NULL;;;;;1;;NULL
3722;ikiragi;iki;ragi;;;ibi;1;7;8;;;;;0;;NULL
3723;uburagi;ubu;ragi;;;;1;14;NULL;;;;;1;;NULL
3724;iragi;i;ragi;;;ama;1;5;6;;;;;0;;NULL
3725;kuragira;ku;ragira;ragiye;ye;;0;NULL;NULL;;;;;0;;NULL
3726;kuragirana;ku;ragirana;ragiranye;nye;;0;NULL;NULL;;;;;0;;NULL
3727;kuragirwa;ku;ragirwa;ragiwe;we;;0;NULL;NULL;;;;;0;;NULL
3728;kuragiza;ku;ragiza;ragije;je;;0;NULL;NULL;;;;;0;;NULL
3729;umurago;umu;rago;;;imi;1;3;4;;;;;0;;NULL
3730;ikirago;iki;rago;;;ibi;1;7;8;;;;;0;;NULL
3731;kuragura;ku;ragura;raguye;ye;;0;NULL;NULL;;;;;0;;NULL
3732;kuragurira;ku;ragurira;raguriye;ye;;0;NULL;NULL;;;;;0;;NULL
3733;kuraguza;ku;raguza;raguje;je;;0;NULL;NULL;;;;;0;;NULL
3734;umuraguzi;umu;raguzi;;;aba;1;1;2;;;;;0;;NULL
3735;kuragwa;ku;ragwa;razwe;zwe;;0;NULL;NULL;;;;;0;;NULL
3736;umuragwa;umu;ragwa;;;aba;1;1;2;;;;;0;;NULL
3737;kuraha;ku;raha;rashe;she;;0;NULL;NULL;;;;;0;;NULL
3738;kurahana;ku;rahana;rahanye;nye;;0;NULL;NULL;;;;;0;;NULL
3739;kurahira;ku;rahira;rahiye;ye;;0;NULL;NULL;;;;;0;;NULL
3741;kurahurura;ku;rahurura;rahuruye;ye;;0;NULL;NULL;;;;;0;;NULL
3742;kurahuruza;ku;rahuruza;rahuruje;je;;0;NULL;NULL;;;;;0;;NULL
3743;kuraka;ku;raka;ratse;tse;;0;NULL;NULL;;;;;0;;NULL
3744;uburakari;ubu;rakari;;;;1;14;NULL;;;;;1;;NULL
3745;uburake;ubu;rake;;;;1;14;NULL;;;;;1;;NULL
3746;kurakira;ku;rakira;rakiye;ye;;0;NULL;NULL;;;;;0;;NULL
3747;kurakirana;ku;rakirana;rakiranye;nye;;0;NULL;NULL;;;;;0;;NULL
3748;kurakirwa;ku;rakirwa;rakiwe;we;;0;NULL;NULL;;;;;0;;NULL
3749;kurakisha;ku;rakisha;rakishije;shije;;0;NULL;NULL;;;;;0;;NULL
3750;kurama;ku;rama;ramye;mye;;0;NULL;NULL;;;;;0;;NULL
3751;kuramagiza;ku;ramagiza;ramagije;je;;0;NULL;NULL;;;;;0;;NULL
3752;kuramagura;ku;ramagura;ramaguye;ye;;0;NULL;NULL;;;;;0;;NULL
3753;kuramata;ku;ramata;ramase;se;;0;NULL;NULL;;;;;0;;NULL
3754;ikiramata;iki;ramata;;;ibi;1;7;8;;;;;0;;NULL
3755;akaramata;aka;ramata;;;;1;12;NULL;;;;;1;;NULL
3756;kuramba;ku;ramba;ramvye;mvye;;0;NULL;NULL;;;;;0;;NULL
3757;kurambarara;ku;rambarara;rambaraye;ye;;0;NULL;NULL;;;;;0;;NULL
3758;umurambararo;umu;rambararo;;;imi;1;3;4;;;;;0;;NULL
3759;kurambika;ku;rambika;rambitse;tse;;0;NULL;NULL;;;;;0;;NULL
3760;kurambira;ku;rambira;rambiye;ye;;0;NULL;NULL;;;;;0;;NULL
3761;kurambirwa;ku;rambirwa;rambiwe;we;;0;NULL;NULL;;;;;0;;NULL
3762;imirambizo;imi;rambizo;;;;1;NULL;4;;;;;2;;NULL
