id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
3763;kuramira;ku;ramira;ramiye;ye;;0;NULL;NULL;;;;;0;;NULL
3764;kuramiriza;ku;ramiriza;ramirije;je;;0;NULL;NULL;;;;;0;;NULL
3765;kuramisha;ku;ramisha;ramishije;shije;;0;NULL;NULL;;;;;0;;NULL
3766;kuramiza;ku;ramiza;ramije;je;;0;NULL;NULL;;;;;0;;NULL
3767;umuramu;umu;ramu;;;imi;1;3;4;;;;;0;;NULL
3768;kuramuka;ku;ramuka;ramutse;tse;;0;NULL;NULL;;;;;0;;NULL
3769;kuramukana;ku;ramukana;ramukanye;nye;;0;NULL;NULL;;;;;0;;NULL
3770;kuramukanya;ku;ramukanya;ramukanije;nije;;0;NULL;NULL;;;;;0;;NULL
3771;muramukazanje;;muramukazanje;;;ba;1;1;2;;;;;0;;NULL
3772;kuramukira;ku;ramukira;ramukiye;ye;;0;NULL;NULL;;;;;0;;NULL
3773;kuramukirwa;ku;ramukirwa;ramukiwe;we;;0;NULL;NULL;;;;;0;;NULL
3774;kuramukwa;ku;ramukwa;ramutswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3775;kuramura;ku;ramura;ramuye;ye;;0;NULL;NULL;;;;;0;;NULL
3776;kuramutsa;ku;ramutsa;ramukije;kije;;0;NULL;NULL;;;;;0;;NULL
3777;kuramutswa;ku;ramutswa;ramukijwe;kijwe;;0;NULL;NULL;;;;;0;;NULL
3778;muramuwe;mu;ramuwe;;;ba;1;1;2;;;;;0;;NULL
3779;ikiramvu;iki;ramvu;;;ibi;1;7;8;;;;;0;;NULL
3780;kuramvura;ku;ramvura;ramvuye;ye;;0;NULL;NULL;;;;;0;;NULL
3781;kuranana inyuma;ku;ranana inyuma;;;;9;NULL;NULL;;;;;0;;sw
3782;kuranda;ku;randa;ranze;nze;;0;NULL;NULL;;;;;0;;NULL
3783;akaranda;aka;randa;;;;1;12;NULL;;;;;1;;NULL
3784;akaranda;aka;randa;;;;1;12;NULL;;;;;1;;NULL
3785;kurandagura;ku;randagura;randaguye;ye;;0;NULL;NULL;;;;;0;;NULL
3786;kurandagurana;ku;randagurana;randaguranye;nye;;0;NULL;NULL;;;;;0;;NULL
3787;kurandamuka;ku;randamuka;randamutse;tse;;0;NULL;NULL;;;;;0;;NULL
3788;ikirandamuke;iki;randamuke;;;ibi;1;7;8;;;;;0;;NULL
3789;kurandamukira;ku;randamukira;randamukiye;ye;;0;NULL;NULL;;;;;0;;NULL
3790;umurandaranda;umu;randaranda;;;imi;1;3;4;;;;;0;;NULL
3791;kuranduka;ku;randuka;randutse;tse;;0;NULL;NULL;;;;;0;;NULL
3792;kurandura;ku;randura;randuye;ye;;0;NULL;NULL;;;;;0;;NULL
3793;kurandurira;ku;randurira;randuriye;ye;;0;NULL;NULL;;;;;0;;NULL
3794;kurandurwa;ku;randurwa;randuwe;we;;0;NULL;NULL;;;;;0;;NULL
3795;kuranduza;ku;randuza;randuje;je;;0;NULL;NULL;;;;;0;;NULL
3796;umuranduzi;umu;randuzi;;;aba;1;1;2;;;;;0;;NULL
3797;Kiranga;Ki;ranga;;;;1;7;NULL;;;;;0;;NULL
3798;kuranga;ku;ranga;ranze;nze;;0;NULL;NULL;;;;;0;;NULL
3799;kurangaguza;ku;rangaguza;rangaguje;je;;0;NULL;NULL;;;;;0;;NULL
3800;kurangamira;ku;rangamira;rangamiye;ye;;0;NULL;NULL;;;;;0;;NULL
3801;kurangamiza;ku;rangamiza;rangamije;je;;0;NULL;NULL;;;;;0;;NULL
3802;kurangara;ku;rangara;rangaye;ye;;0;NULL;NULL;;;;;0;;NULL
3803;kurangarira;ku;rangarira;rangariye;ye;;0;NULL;NULL;;;;;0;;NULL
3804;kurangaza;ku;rangaza;rangaje;je;;0;NULL;NULL;;;;;0;;NULL
3805;irangi;i;rangi;;;ama;1;5;6;;;;;0;;NULL
3806;kurangira;ku;rangira;rangiye;ye;;0;NULL;NULL;;;;;0;;NULL
3807;kurangira;ku;rangira;rangiye;ye;;0;NULL;NULL;;;;;0;;NULL
3808;kurangiranwa;ku;rangiranwa;rangiraniwe;niwe;;0;NULL;NULL;;;;;0;;NULL
